paper,link,what_it_does,results,drawbacks,gap_vs_ours
"AudioJudge: Understanding What Works in Large Audio Model Based Speech Evaluation",https://arxiv.org/abs/2507.12705,"Systematic study of large audio models (LAMs) as judges of speech: pronunciation match, speaking rate, speaker ID, speech quality, and pairwise human-preference simulation over TTS system outputs; tests prompting strategies (audio concatenation, ICL, multi-aspect ensembles).","Multi-aspect ensemble judge reaches 0.91 Spearman with human system rankings; judges show significant verbosity and positional bias; robust to acoustic noise.","Evaluees are TTS/LAM systems, not human speakers; only degradations tested are noise/verbosity/position, never evaluee identity.","Never varies the evaluee's voice identity (accent/gender/delivery) while holding content fixed; this is the judge-bias framework we extend."
"Auditing Protocol-Level Shortcuts in Large Audio Language Model Judges for Speech Evaluation",https://arxiv.org/abs/2607.13477,"Audits whether LALM judges genuinely analyze audio or exploit protocol shortcuts (feature-blueprint text, reference conditioning, A/B slot position) across six judges and four attributes.","Incorrect feature labels sharply degrade blueprint judging; some models show slot-preference bias regardless of order.","Treatment is the evaluation protocol's structure/text, not the speaker.","No evaluee-voice manipulation at all; purely a protocol-shortcut audit."
"ParaPairAudioBench: Paralinguistic Pairwise Audio Benchmark for LALM-as-a-Judge",https://arxiv.org/abs/2606.24648,"5,175 audio pairs testing LALM judges on five paralinguistic dimensions (Style, Rate, Emphasis, Age, Gender), with same-transcript vs cross-transcript conditions to separate lexical from acoustic reliance.","LALM judges lag human judgment by ~32 points on average, with severe calibration failures especially on ties.","Tests whether judges can correctly PERCEIVE/RANK paralinguistic differences as the judging target, not whether those attributes leak into an unrelated content score.","Measures judge competence at detecting gender/age, not whether accent/gender contaminate a content-quality grade of a fixed answer."
"SpeechLLM-as-Judges: Towards General and Interpretable Speech Quality Evaluation",https://arxiv.org/abs/2510.14664,"Builds SpeechEval (32,207 clips, 128,754 annotations) and trains SQ-LLM, a chain-of-thought speech-quality judge across 4 tasks and multiple languages.","SQ-LLM gives strong cross-task, cross-lingual quality judgments with structured explanations.","Optimizes judge accuracy/interpretability; no fairness axis at all.","No counterfactual test of speaker identity effects on scores."
"JASTIN: Aligning LLMs for Zero-Shot Audio and Speech Evaluation via Natural Language Instructions",https://arxiv.org/abs/2605.04505,"Frozen audio encoder + fine-tuned LLM via trainable adapter for instruction-driven zero-shot audio/speech/music quality assessment.","State-of-the-art Pearson/Spearman correlation with human subjective ratings without task-specific retraining.","Pure judge-construction work.","No fairness or voice-identity manipulation of the evaluee at all."
"VIBE: Voice-Induced Open-ended Bias Evaluation for Large Audio-Language Models via Real-World Speech",https://arxiv.org/abs/2604.17248,"Evaluates generative bias in 12 audio-LLMs on open-ended tasks (e.g. personalized recommendations) using human-recorded speech including L2-ARCTIC for accent, rejecting synthetic-speech+MCQ benchmarks as fragmented.","Gender and accent cues in the user's voice cause statistically significant distributional shifts in what the model generates; effect is task-dependent.","Outcome is what the ASSISTANT generates/recommends for the speaker, not a grade assigned to the speaker's own answer; no TTS arm despite using real L2-ARCTIC speech.","Uses our exact real-speech corpus but for the assistant-generation-bias question, not judge-scoring of evaluee content; validates L2-ARCTIC as a credible instrument for us."
"Do Audio Language Models Use Paralinguistic Evidence? Counterfactual Audits for Response Evaluation",https://arxiv.org/abs/2608.06718,"Counterfactual audits on audio-LLM JUDGES that hold the transcript fixed while varying affect, prosody, or the timing of an affective shift, testing whether judges rely on audio evidence at all (Gemini, GPT, open models).","Contrastive success often overstates native judge reliability; behavioral audits should precede deployment.","Varied factor is affect/prosody for evidence-use correctness, not accent/gender/code-switching as a demographic bias treatment on content scores.","Closest methodological cousin (transcript-fixed, multi-judge-family counterfactual protocol on judges) but tests evidence-use, not identity-driven score bias."
"Bias in the Ear of the Listener: Assessing Sensitivity in Audio Language Models Across Linguistic, Demographic, and Positional Variations (BiasInEar)",https://arxiv.org/abs/2602.01030,"Multilingual (EN/ZH/KO) speech-augmented Global MMLU Lite benchmark (~11,200 questions); evaluates 9 audio LLMs on QA accuracy/entropy/APES/Fleiss-kappa under linguistic, demographic (voice), and positional variation of the QUESTION audio.","Models are relatively robust to demographic (accent/gender) factors but highly sensitive to language and option order.","Model is the TEST-TAKER, not a judge; voice varies the question, not an evaluee's answer; TTS-only (Gemini 2.5 Flash TTS), no real speech.","No judging role, no evaluee, no score assigned to any speaker's content."
"The Voice Behind the Words: Quantifying Intersectional Bias in SpeechLLMs",https://arxiv.org/abs/2603.16941,"2,880 controlled interactions across 6 English accents x 2 gender presentations (voice-cloned questions to 3 SpeechLLMs); rates the SPEECHLLM's own text response via pointwise LLM-judge, pairwise, and BWS, validated against humans.","Eastern-European-accented speech gets lower assistant helpfulness scores, worst for female-presenting voices; LLM judges underdetect disparities humans see.","THE JUDGE IS TEXT-ONLY AND EXPLICITLY VOICE-BLIND ('the judge receives only the user question and the SpeechLLM response, with no knowledge of the speech accent, gender, or hesitation metadata' -- Sec 3.2). Voice varies the QUESTION-ASKER; judge never hears audio; outcome is the assistant's own generated reply, not a grade on a fixed evaluee answer.","CLOSEST paper by topic but structurally orthogonal to our claim: it shows the assistant behaves differently toward differently-voiced users, filtered through a blinded text judge -- it cannot and does not show that an audio-input judge's SCORE of an evaluee's ANSWER shifts with that evaluee's voice. This is the paper our novelty-delineation section must address most carefully."
"From Seeing it to Experiencing it: Interactive Evaluation of Intersectional Voice Bias in Human-AI Speech Interaction",https://arxiv.org/abs/2604.13067,"Companion to 2603.16941: controlled cohort (6 accents x 2 genders) plus interactive user study (N=24) using voice conversion so users experience identical content through different vocal identities; explicitly judge-free.","Voice conversion raises trust/acceptability; reveals accent x gender disparities in assistant alignment and verbosity.","Explicitly judge-free by design; measures human user experience and assistant QoS, not any model's evaluative score.","No judge in the loop at all; not our niche."
